author_name|publication_key
Daniel Genkin|tr/meltdown/s18
Thomas Prescher 0002|tr/meltdown/s18
Farshad Nayeri|tr/gte/TR-0174-12-91-165
Bodo Möller|reference/crypt/Moller11e
Frank Manola|tr/gte/TM-0149-06-89-165
Daniel Gruss|tr/meltdown/m18
Joe D. Morrison|tr/gte/TR-0174-12-91-165
Daniel Genkin|tr/meltdown/m18
Thomas Prescher 0002|tr/meltdown/m18
N/A|tr/acm/CS2013
Daniel Gruss|tr/meltdown/s18
Moritz Lipp|tr/meltdown/s18
Mark F. Hornick|tr/gte/TR-0174-12-91-165
Stefan Mangard|tr/meltdown/s18
Stefan Mangard|tr/meltdown/m18
Bir Bhanu|reference/crypt/Bhanu11
Werner Haas|tr/meltdown/s18
Michael L. Brodie|tr/gte/TR-0222-10-92-165
Mike Hamburg|tr/meltdown/s18
Moritz Lipp|tr/meltdown/m18
Frank Manola|tr/gte/TR-0310-11-95-165
Paul Kocher|tr/meltdown/s18
Yuval Yarom|tr/meltdown/s18
Mike Hamburg|tr/meltdown/m18
Eric Mays|tr/ibm/IWBS135
Werner Haas|tr/meltdown/m18
Sitaram Lanka|tr/ibm/IWBS135
Paul Kocher|tr/meltdown/m18
Yuval Yarom|tr/meltdown/m18
Michael Stonebraker|tr/gte/TR-0222-10-92-165
Frank Manola|tr/gte/TR-0263-08-94-165
Stefan Börner|tr/ibm/LILOG10
Michael Schwarz 0001|tr/meltdown/m18
Michael Schwarz 0001|tr/meltdown/s18
Arnon Rosenthal|www/org/mitre/future
